Point ID,Point angle,X,Y,Point mutual distance,Parapet load,Arch self-weight,Spandrel wall load,Backfill load
1,23.9523,0.0,1.383,0,2.48886,3.4567499999999995,6.965191707692308,30.076964192307692
2,56.9761,1.257,2.857,1.257,6.16572,8.5635,6.7870348615384595,29.307650538461527
3,90.0,3.114,3.408,1.857,7.353720000000002,10.213500000000002,3.429221907692307,14.80800369230769
4,123.0239,4.971,2.857,1.8570000000000002,6.16572,8.5635,6.7870348615384595,29.307650538461527
5,156.0477,6.228,1.383,1.2569999999999997,2.4888599999999994,3.456749999999999,6.9651917076923064,30.076964192307685
