Point ID,Point angle,X,Y,Point mutual distance,Parapet load
1,16.6174,0.0,1.453,0,3.7099920000000006,3.7099920000000006
2,53.3087,1.833,4.075,1.833,9.856880000000002,9.856880000000002
3,90.0,4.87,5.082,3.037,12.291752000000002,12.291752000000002
4,126.6913,7.906,4.075,3.0359999999999996,9.854856000000003,9.854856000000003
5,163.3826,9.739,1.453,1.833000000000001,9.854856000000003,9.854856000000003
